PDS,ANZ_S,RTS_E22100.0,RTS_E22100.1,RTS_E22100.3,RTS_E22100.3.MW_A_PR,RTS_E22100.3.MW_M_PR,RTS_E22100.3.MW_A_PW,RTS_E22100.3.MW_M_PW,RTS_E22100.4,RTS_E22100.4.MW_A_PR,RTS_E22100.4.MW_M_PR,RTS_E22100.4.MW_A_PW,RTS_E22100.4.MW_M_PW,RTS_E22100.9,RTS_E22090.0,RTS_E22090.1,RTS_E22090.3,RTS_E22090.3.MW_A_PR,RTS_E22090.3.MW_M_PR,RTS_E22090.3.MW_A_PW,RTS_E22090.3.MW_M_PW,RTS_E22090.4,RTS_E22090.4.MW_A_PR,RTS_E22090.4.MW_M_PR,RTS_E22090.4.MW_A_PW,RTS_E22090.4.MW_M_PW,RTS_E22090.9,RTS_E22080.0,RTS_E22080.1,RTS_E22080.3,RTS_E22080.3.MW_A_PR,RTS_E22080.3.MW_M_PR,RTS_E22080.3.MW_A_PW,RTS_E22080.3.MW_M_PW,RTS_E22080.4,RTS_E22080.4.MW_A_PR,RTS_E22080.4.MW_M_PR,RTS_E22080.4.MW_A_PW,RTS_E22080.4.MW_M_PW,RTS_E22080.9,RTS_E22070.0,RTS_E22070.1,RTS_E22070.3,RTS_E22070.3.MW_A_PR,RTS_E22070.3.MW_M_PR,RTS_E22070.3.MW_A_PW,RTS_E22070.3.MW_M_PW,RTS_E22070.4,RTS_E22070.4.MW_A_PR,RTS_E22070.4.MW_M_PR,RTS_E22070.4.MW_A_PW,RTS_E22070.4.MW_M_PW,RTS_E22070.9,RTS_E22060.0,RTS_E22060.1,RTS_E22060.3,RTS_E22060.3.MW_A_PR,RTS_E22060.3.MW_M_PR,RTS_E22060.3.MW_A_PW,RTS_E22060.3.MW_M_PW,RTS_E22060.4,RTS_E22060.4.MW_A_PR,RTS_E22060.4.MW_M_PR,RTS_E22060.4.MW_A_PW,RTS_E22060.4.MW_M_PW,RTS_E22060.9,RTS_E22050.0,RTS_E22050.1,RTS_E22050.3,RTS_E22050.3.MW_A_PR,RTS_E22050.3.MW_M_PR,RTS_E22050.3.MW_A_PW,RTS_E22050.3.MW_M_PW,RTS_E22050.4,RTS_E22050.4.MW_A_PR,RTS_E22050.4.MW_M_PR,RTS_E22050.4.MW_A_PW,RTS_E22050.4.MW_M_PW,RTS_E22050.9,RTS_E22040.0,RTS_E22040.1,RTS_E22040.3,RTS_E22040.3.MW_A_PR,RTS_E22040.3.MW_M_PR,RTS_E22040.3.MW_A_PW,RTS_E22040.3.MW_M_PW,RTS_E22040.4,RTS_E22040.4.MW_A_PR,RTS_E22040.4.MW_M_PR,RTS_E22040.4.MW_A_PW,RTS_E22040.4.MW_M_PW,RTS_E22040.9,RTS_E22030.0,RTS_E22030.1,RTS_E22030.3,RTS_E22030.3.MW_A_PR,RTS_E22030.3.MW_M_PR,RTS_E22030.3.MW_A_PW,RTS_E22030.3.MW_M_PW,RTS_E22030.4,RTS_E22030.4.MW_A_PR,RTS_E22030.4.MW_M_PR,RTS_E22030.4.MW_A_PW,RTS_E22030.4.MW_M_PW,RTS_E22030.9,RTS_E22020.0,RTS_E22020.1,RTS_E22020.3,RTS_E22020.3.MW_A_PR,RTS_E22020.3.MW_M_PR,RTS_E22020.3.MW_A_PW,RTS_E22020.3.MW_M_PW,RTS_E22020.4,RTS_E22020.4.MW_A_PR,RTS_E22020.4.MW_M_PR,RTS_E22020.4.MW_A_PW,RTS_E22020.4.MW_M_PW,RTS_E22020.9,RTS_E22010.0,RTS_E22010.1,RTS_E22010.3,RTS_E22010.3.MW_A_PR,RTS_E22010.3.MW_M_PR,RTS_E22010.3.MW_A_PW,RTS_E22010.3.MW_M_PW,RTS_E22010.4,RTS_E22010.4.MW_A_PR,RTS_E22010.4.MW_M_PR,RTS_E22010.4.MW_A_PW,RTS_E22010.4.MW_M_PW,RTS_E22010.9
1566142,375,1,,,,,,,374,"1,221925","18,328877",",398609","5,979133",,,41,24,"2,208333","44,375",",727392","14,68509",310,"3,358065","94,241935","1,080115","30,414858",,8,42,79,"4,797468","143,924051","1,613136","48,394073",246,"10,825203","324,756098","3,458431","103,752941",,10,115,81,"3,975309","228,888889","1,26568","73,224438",169,"7,360947","413,431953","2,34905","132,110891",,20,4,4,"1,5",35,",434652","10,343251",347,"3,268012","195,720461","1,063036","63,438228",,,57,146,"4,60274","148,150685","1,522883","49,049429",172,"6,72093","235,639535","2,187489","76,514418",,257,21,85,2,90,",649347","29,220593",12,3,150,",93763","46,881488",,214,21,91,"5,241758","161,373626","1,710291","52,607624",49,"7,693878","252,244898","2,391518","78,484824",,110,20,48,"5,333333",160,"1,686198","50,585943",197,"10,558376","332,13198","3,406176","107,19076",,,13,14,"20,785714","575,714286","7,180435","199,021739",348,"55,724138","1661,020115","17,905744","533,415426",
1566143,200,12,,,,,,,188,"1,143617","17,739362",",380487","5,90441",,2,55,11,"1,363636",45,",460774","15,007576",132,"2,795455","76,363636",",904415","24,862526",,5,8,42,"3,452381","155,357143","1,097303","49,378655",145,"4,958621","223,137931","1,625939","73,167234",,,49,81,"3,061728","184,444444","1,062708","63,954516",70,"7,157143","557,142857","2,391524","185,849129",,5,,,,,,,195,"4,374359","240,358974","1,441777","79,396803",,,3,18,"3,944444","146,666667","1,322401","49,184292",179,"7,184358","258,910615","2,385678","86,012517",,4,,9,2,90,",679835","30,592593",187,"3,754011","168,930481","1,250902","56,290577",,105,17,38,"5,210526","221,447368","1,629484","69,194857",40,"7,25","323,625","2,399117","106,864942",,54,5,6,"5,5","167,5","1,714506","52,310185",135,"7,696296","470,888889","2,484418","151,936218",,,9,24,"18,166667","561,875","6,438588","199,132966",167,"35,155689","1242,754491","11,32298","399,482083",
1566144,112,111,,,,,,,1,1,15,",259259","3,888889",,,21,39,3,45,"1,007146","15,107192",52,"4,923077","93,461538","1,547914","29,447424",,24,4,5,"2,6",156,",77372","46,423189",79,"4,620253","277,21519","1,533838","92,030259",,9,11,3,"2,333333",200,",816667",70,89,"6,853933","742,247191","2,223335","240,939803",,1,,,,,,,111,"22,720721","400,45045","7,399269","129,978133",,16,57,33,"2,060606","121,060606",",713749","41,87037",6,"3,166667","182,5","1,062963","61,152778",,49,,,,,,,63,"1,428571","171,428571",",461011","55,321296",,37,11,40,"5,125",234,"1,657073","75,74954",24,"6,875","314,375","2,220872","101,689236",,63,32,9,"4,777778","143,333333","1,557882","46,736467",8,"6,625","213,75","2,27338","72,090278",,,4,1,20,600,7,210,107,"48,88785","2008,598131","15,924952","655,911054",
1566145,161,131,,,,,,,30,1,"36,5",",325247","11,834259",,56,9,,,,,,96,"2,854167",170,",930246","55,486622",,2,20,35,"3,942857","129,428571","1,355294","44,311765",104,"7,144231","283,846154","2,355538","93,337737",,3,49,45,"3,911111",228,"1,276718","74,203063",64,"7,03125","443,203125","2,346325","147,677951",,,,,,,,,161,"25,863354","285,124224","8,5248","94,334761",,,5,10,"3,7",144,"1,258704","49,038889",146,"5,294521","271,335616","1,76179","90,193613",,161,,,,,,,,,,,,,92,14,21,"4,904762","191,428571","1,57217","61,018052",34,"7,882353","363,970588","2,621167","121,258385",,84,34,25,"3,56","134,4","1,195185","45,08",18,"6,777778","256,666667","2,166255","82,055556",,,,,,,,,161,"51,869565","1600,062112","17,021471","525,542851",
1566146,146,6,,,,,,,140,"1,064286","16,714286",",367275","5,756355",,4,51,,,,,,91,"2,208791","65,934066",",760833","22,709595",,92,5,4,3,135,"1,063816","47,802632",45,"6,111111","280,777778","2,116056","97,237914",,2,23,46,"3,26087","207,391304","1,127926","71,796275",75,"5,546667","387,2","1,88323","131,643701",,4,,1,1,30,",35","10,5",141,"2,907801","164,148936","1,004986","56,755971",,,9,36,"2,722222","140,138889",",939038","48,443862",101,"4,247525","240,643564","1,47412","83,647501",,1,6,8,"2,625",90,",91875","31,5",131,"6,312977","211,145038","2,187679","73,157449",,90,3,15,"5,066667",152,"1,724165","51,724951",38,"6,763158","231,578947","2,265754","77,367344",,53,23,17,"4,411765","132,352941","1,572773","47,183179",53,"9,830189","307,358491","3,299128","102,715985",,,1,2,"20,5",615,"7,359211","220,776316",143,"59,713287","2089,475524","20,461667","718,563686",
1566147,172,,,,,,,,172,"2,261628","30,174419",",766347","10,225583",,19,61,7,3,45,"1,037582","15,563726",85,"4,258824","111,647059","1,426866","37,540962",,13,31,52,"4,134615","126,057692","1,426306","43,469746",76,"7,789474","235,657895","2,602614","78,608032",,3,37,53,"4,622642","226,603774","1,556755","76,116287",79,"9,734177","430,56962","3,240219","143,772528",,32,2,3,2,30,",7","10,5",135,"1,948148","78,555556",",659422","26,315609",,,8,47,"6,93617","155,638298","2,384455","53,615173",117,"9,521368","257,478632","3,170952","86,051937",,15,32,23,2,90,",69211","31,144928",102,"3,303922",180,"1,117128","60,871708",,72,30,44,"4,613636","146,25","1,564165","49,669268",26,"6,769231","222,692308","2,268829","74,406762",,18,23,22,"4,363636","142,5","1,480381","48,3581",109,"11,036697","360,275229","3,721631","121,445207",,,18,32,"20,40625","586,40625","6,819946","196,953529",122,"38,286885","1089,467213","12,841304","365,456567",
1566148,56,7,,,,,,,49,"1,061224","15,918367",",372328","5,584921",,3,2,2,2,45,",7","15,75",49,"3,020408","101,326531","1,047404","35,161679",,,1,1,4,150,"1,4","52,5",54,"5,925926","246,111111","2,05021","85,252421",,6,1,17,"3,058824","208,235294","1,046296","71,205882",32,"6,0625","434,375","2,102871","150,745558",,,,,,,,,56,"1,839286","107,678571",",635425","37,301635",,,,3,5,135,"1,780702","48,078947",53,"6,150943","203,018868","2,127415","70,280419",,3,2,,,,,,51,"2,960784","177,647059","1,033529","62,011767",,52,1,1,5,300,"1,75",105,2,26,"727,5","9,1","254,625",,36,2,1,3,135,"1,05","47,25",17,"11,941176",420,"4,090959","143,5",,,1,2,19,570,"6,65","199,5",53,"42,679245","1591,226415","14,843687","554,239",
1566149,682,20,1,,,,,,661,"2,396369","35,204236",",792859","11,668386",,8,261,44,3,"49,204545",",947475","15,543771",369,"3,95664","118,99729","1,282666","38,603076",,51,82,123,"4,739837","147,845528","1,590419","49,477572",426,"7,931925","310,692488","2,56735","100,705201",,110,137,144,"3,5","225,729167","1,150809","74,187677",291,"6,563574","459,690722","2,120792","148,748756",,54,18,14,"1,285714","31,428571",",431871","10,780214",596,"2,417785","140,427852",",795306","46,25723",,,3,56,"6,517857","154,910714","2,247128","53,534516",623,"8,752809","253,683788","2,885368","83,778558",,38,18,32,"1,78125",90,",576695","29,027771",594,"3,042088","186,414141","1,011133","61,916649",,530,19,59,"5,135593","204,40678","1,689467","67,31504",74,"8,459459","300,540541","2,755072","98,234919",,270,169,41,"6,780488","148,536585","2,073476","47,564231",202,"25,366337","386,559406","8,385203","127,075389",,1,14,48,"30,458333","619,166667","10,174092","205,13896",619,"43,704362","1171,922456","14,358526","384,141729",
1566150,268,14,,,,,,,254,"1,007874","30,11811",",327701","9,800422",,,9,31,"2,129032","45,806452",",719303","15,525304",228,"3,385965","127,017544","1,088417","40,408367",,8,30,73,"4,410959","153,69863","1,425617","49,776606",157,"7,178344","245,732484","2,285724","78,416043",,9,46,43,"4,674419","225,930233","1,573977","76,252686",170,"9,688235","675,117647","3,015109","209,393107",,4,,10,1,30,",340926","10,227778",254,"2,822835","254,232283",",915768","82,018183",,,1,12,2,120,",634968","38,098059",255,"4,494118","248,313725","1,459669","80,859765",,34,6,,,,,,228,2,180,",65265","58,738498",,186,10,14,"5,928571","173,571429","1,779319","51,928469",58,"13,982759","446,810345","4,363751","138,653772",,142,35,28,"4,714286","147,857143","1,526852","47,763889",63,"9,031746","289,761905","2,80216","90,003079",,,,11,"23,363636","621,818182","7,838522","209,169192",257,"44,77821","1459,533074","14,224923","463,066129",
1566151,172,4,,,,,,,168,"1,684524","28,869048",",573766","9,836425",,119,14,13,"1,461538","47,307692",",483618","15,545584",26,"1,692308","67,884615",",558824","22,493365",,26,21,46,"4,543478","139,23913","1,54173","47,279081",79,"7,227848","284,050633","2,396219","94,445536",,10,39,39,"3,153846","214,487179","1,07848","73,430724",84,"5,47619","400,416667","1,849813","135,559851",,3,1,,,,,,168,"1,642857","103,214286",",559771","35,298103",,,,22,3,"135,681818","1,060845","47,976675",150,"4,733333","209,766667","1,583716","70,362391",,4,,1,2,90,",7","31,5",167,"5,137725","231,197605","1,729723","77,837526",,120,23,17,"5,117647","215,294118","1,626471","68,764706",12,"7,333333","278,333333","2,475926","93,787037",,104,8,10,"4,6",138,"1,555556","46,666667",50,"9,22","276,6","3,076852","92,305556",,,4,16,"20,8125","644,0625","6,918171","214,435764",152,"33,348684","1032,861842","11,234252","348,165641",
1566152,294,2,,,,,,,292,"2,544521","80,239726",",85124","26,894189",,66,68,14,3,"45,714286","1,05",16,146,"5,671233","153,938356","1,837065","49,965283",,110,58,68,"3,75",150,"1,268189","50,727572",58,"12,965517","427,586207","4,116126","136,011979",,12,56,49,"4,326531","250,816327","1,323245","76,43175",177,"7,926554","470,141243","2,618841","155,392427",,39,13,1,2,40,",518519","10,37037",241,"2,004149","116,26556",",66232","38,345258",,,17,62,"5,725806","148,306452","1,95507","50,944961",215,"8,093023","228,372093","2,648719","75,244079",,91,117,,,,,,86,2,135,",655325","44,234459",,201,24,33,"5,272727","210,909091","1,631926","65,277041",36,"7,055556","282,222222","2,348771","93,95083",,135,10,7,4,"148,571429","1,25249","46,408046",142,"9,070423","389,929577","2,904982","125,324452",,,,,,,,,294,"95,384354","3524,557823","31,265319","1155,752612",
1566153,917,,,,,,,,917,"2,070883","33,516903",",688815","11,170543",,186,110,14,"1,142857","45,357143",",357479","14,221154",607,"2,197694","108,294893",",714978","35,29284",,243,26,75,"4,826667","144,8","1,476962","44,308844",573,"8,251309","247,539267","2,754664","82,639916",,207,204,120,"2,875","214,583333",",928349","69,338094",386,"6,093264","493,84715","1,968643","159,49892",,1,68,3,3,40,",959259","12,790123",845,"2,281657","91,201183",",758744","30,193426",,,,35,"6,142857","149,142857","2,129259","51,772222",882,"10,595238","331,315193","3,487246","109,336995",,12,3,7,2,"94,285714",",7",33,895,"3,503911","196,206704","1,164163","65,189597",,691,37,69,5,"204,927536","1,632847","66,87465",120,"7,083333","284,5","2,28384","91,56793",,371,27,45,"4,2","139,333333","1,406559","46,863438",474,"12,132911","367,21519","3,928372","118,869838",,,35,156,"20,717949","621,025641","6,794686","203,643655",726,"35,887052","1116,859504","11,722628","364,596727",
1566154,652,,,,,,,,652,"1,501534","36,993865",",486775","12,033563",,86,79,274,"2,967153",45,",965253","14,651232",213,"4,126761","102,957746","1,281994","31,944346",,108,17,78,"5,102564","160,192308","1,640264","51,628492",449,"6,603563","281,959911","2,103706","89,691904",,96,171,145,"3,703448","230,793103","1,165873","72,677447",240,"7,079167",471,"2,273513","150,801987",,5,,,,,,,647,"4,14374","208,825348","1,328654","66,904227",,,,3,4,125,"1,449123","45,315789",649,"8,189522","358,428351","2,634367","115,130792",,15,135,,,,,,502,"2,430279","145,816733",",77578","46,546788",,236,316,16,"5,5625","186,875","1,689398","56,490972",84,"14,083333","600,416667","4,3308","184,013841",,42,77,21,"4,238095","142,857143","1,442681","48,170635",512,"20,134766","636,269531","6,354142","200,966335",,,20,78,"20,089744","626,538462","6,515578","203,655141",554,"44,373646","1481,18231","13,949693","465,776175",
1566155,224,1,,,,,,,223,"2,64574","40,896861",",811387","12,536216",,79,20,,,,,,125,"2,048","107,76",",589106","31,074534",,34,7,37,"5,513514","196,216216","1,479157","53,056702",146,"6,753425","233,013699","1,983042","68,826914",,4,29,43,"4,627907","262,674419","1,345252","77,014267",148,"8,02027","515,608108","2,362032","150,927279",,10,1,1,1,30,",259259","7,777778",212,"1,867925","124,95283",",560946","37,767803",,,,,,,,,224,"8,232143","363,013393","2,517058","111,197008",,48,152,24,2,105,",624672","32,795277",,,,,,,139,7,11,"6,545455","211,363636","1,698263","55,060623",67,"7,38806","237,313433","2,390064","76,890474",,85,56,26,"4,653846","170,769231","1,33093","48,494492",57,"9,561404","396,315789","2,661782","111,091782",,,1,9,"21,333333","656,666667","6,703816","206,645342",214,"52,864486","1739,088785","15,367457","505,424208",
1566156,48,1,,,,,,,47,"1,042553","16,276596",",308123","4,782722",,2,,,,,,,46,"2,434783","73,369565",",72018","21,732201",,8,7,5,4,198,"1,05363","52,08",28,"6,75","326,25","1,908993","92,035414",,1,29,2,"6,5",345,"1,471678","79,302832",16,"8,25","595,3125","2,209242","158,975128",,18,12,3,"1,666667","36,666667",",511729","11,401234",15,"2,133333",194,",575632","53,49964",,,,4,7,"153,75","2,527778","55,416667",44,"10,454545","242,727273","2,979565","70,029053",,48,,,,,,,,,,,,,4,2,7,6,"160,714286","1,921008","51,023109",35,"21,028571","740,428571","5,882927","204,900562",,34,5,2,"2,5","142,5",",85","48,5",7,13,"452,142857","3,71241","129,280847",,,,2,"15,5",525,"5,425","183,75",46,"67,304348","2700,543478","18,897545","759,582098",
1566157,745,11,,,,,,,734,"2,283379","133,760218",",702497","41,087285",,119,16,2,2,45,",65463","13,708334",608,"1,792763","84,810855",",534672","25,551246",,42,11,29,"4,310345","155,517241","1,233278","45,920085",663,"7,621418","293,092006","2,311544","88,562244",,59,51,74,"4,22973","256,418919","1,249092","75,733353",561,"14,258467","858,983957","4,273453","257,026961",,8,2,1,3,40,",777778","10,37037",734,"2,47139","133,794278",",758463","40,964813",,,4,52,"5,288462","149,134615","1,677286","47,382397",689,"9,727141","403,911466","2,959063","122,769079",,13,,20,1,90,",29401","26,460897",712,"2,894663","260,182584",",890331","80,02332",,618,28,41,"5,902439","199,756098","1,719252","58,58805",58,"8,103448","260,431034","2,421523","77,485914",,162,72,50,"4,42","160,2","1,331989","47,440696",461,"11,440347","665,140998","3,422999","198,813479",,,,9,20,"663,333333","5,706543","189,65847",736,"53,888587","2357,1875","16,148795","704,834109",
1566158,412,2,,,,,,,410,"1,02439","15,47561",",332087","5,015456",,,8,,,,,,404,"3,631188","119,071782","1,170362","38,385149",,15,19,47,"5,468085","164,680851","1,692824","51,008127",331,"10,214502","306,435045","3,265646","97,969376",,43,108,50,"4,38","257,6","1,283976","75,435587",211,"6,658768","381,990521","2,178557","125,218197",,3,,,,,,,409,"4,061125","139,938875","1,315084","45,300178",,,4,8,5,150,"1,75","52,5",400,"7,6375","291,3375","2,467921","94,137222",,9,12,,,,,,391,2,120,",64922","38,953186",,293,17,17,"5,411765","163,529412","1,644848","49,757197",85,"6,988235","210,470588","2,233358","67,288983",,120,16,12,"4,833333",150,"1,537614","47,878422",264,"21,526515","718,295455","6,784311","226,361704",,,2,5,"24,6",684,"8,029259","223,066667",405,"49,6","1420,296296","15,810023","452,451426",
1566159,87,6,,,,,,,81,"1,012346","15,185185",",327654","4,914809",,,2,15,"4,2","48,333333","1,332117","15,452659",70,"5,771429","86,857143","1,840212","27,809874",,9,19,22,"2,863636","156,818182",",870296","47,906714",37,"4,72973","251,756757","1,516193","80,984021",,31,32,13,"4,153846","218,076923","1,332051","70,903846",11,"6,363636","357,272727","2,027352","114,535056",,5,3,3,1,30,",29642","8,892593",76,"4,105263","136,644737","1,281894","43,853488",,5,82,,,,,,,,,,,,9,78,,,,,,,,,,,,41,10,19,"6,263158","174,736842","1,830196","51,260658",17,"8,235294","251,176471","2,532712","77,42253",,2,9,1,4,180,"1,037037","46,666667",75,"8,093333","531,4","2,497158","164,368365",,,1,8,22,"668,75","6,768519","205,097222",78,"38,615385","1188,782051","12,285044","378,828858",
1566160,487,44,,,,,,,443,"1,069977","16,049661",",37054","5,558095",,31,8,40,"1,725",45,",592083","15,4875",408,"2,870098","102,720588",",989506","35,437527",,6,13,25,"4,16","166,4","1,306459","52,953185",443,"5,93228","251,918736","2,056664","87,293001",,43,36,97,"2,979381","211,752577","1,027119","72,926966",311,"5,845659","420,803859","2,020104","145,495708",,5,,,,,,,482,"1,794606","102,105809",",617798","35,20381",,,,41,"4,926829","141,341463","1,737365","49,774214",446,"6,309417","204,70852","2,177006","70,707782",,61,20,,,,,,406,"2,903941","174,236453","1,0056","60,33597",,443,10,11,"5,454545",195,"1,776247","62,619146",23,"14,608696","484,130435","4,762969","158,58613",,278,16,14,"4,571429","143,571429","1,551111","48,783333",179,"12,636872","433,994413","4,248008","146,312621",,,,8,"20,625","607,5","7,2625","213,868421",479,"46,482255","1770,302714","16,006682","609,877998",
1566161,58,,,,,,,,58,"1,155172","24,310345",",381555","7,963818",,2,2,,,,,,54,"3,185185","98,055556","1,047844","32,23025",,4,5,3,4,150,"1,4","52,5",46,"6,804348","232,826087","2,169965","74,564567",,,1,2,4,215,"1,4","75,25",55,"7,872727","520,454545","2,565997","169,297027",,,,,,,,,58,"4,241379","209,482759","1,396914","68,544488",,1,4,16,2,120,",7",42,37,"3,324324","199,459459","1,066782","64,006916",,,2,,,,,,56,"2,410714","144,642857",",793398","47,603884",,30,21,2,"4,5",135,"1,575","47,25",5,"6,4",192,"2,24","67,2",,,3,5,"3,6",156,"1,087059","47,682353",50,5,"265,8","1,642962","87,533293",,,,5,"20,2",606,"7,07","212,1",53,"39,849057","1239,056604","12,71472","393,716948",
1566162,189,106,,,,,,,83,"1,506024","35,240964",",50365","11,755802",,14,10,28,"1,214286",45,",408466","15,151786",137,"3,715328","112,29927","1,254732","37,861433",,2,62,33,"4,242424","156,363636","1,428779","52,583732",92,"6,032609","221,73913","2,043809","75,50382",,10,23,42,4,"217,619048","1,353876","74,083988",114,"7,614035","422,368421","2,527995","140,621643",,10,1,1,2,30,",7","10,5",177,"3,338983","143,898305","1,126037","48,920986",,,22,65,"5,430769","151,230769","1,890848","52,640973",102,"7,578431","227,009804","2,5352","75,951009",,13,25,7,2,"92,142857",",676923","31,211538",144,"3,534722","178,229167","1,195131","60,31169",,126,10,25,5,164,"1,655684","54,607368",28,"6,642857","225,714286","2,195335","73,935185",,23,14,8,"2,75",135,",928472","45,208333",144,"10,041667","566,458333","3,351214","189,705825",,,2,2,22,720,"6,520371","215,25",185,"41,621622","1512,648649","14,095959","512,482294",
1566163,32,5,,,,,,,27,"1,037037","17,222222",",352401","5,869342",,2,3,,,,,,27,"3,925926","123,333333","1,336767","41,656863",,2,3,5,"2,4",138,",767407","44,488889",22,6,"268,636364","2,045375","91,717469",,1,6,,,,,,25,"4,16",534,"1,36837","176,135556",,,1,1,1,30,",259259","7,777778",30,"2,266667","131,833333",",778871","45,081754",,,5,1,6,165,"2,1","57,75",26,"6,615385",225,"2,263562","77,244595",,4,18,,,,,,10,2,120,",697408","41,844445",,15,,8,"4,375","131,25","1,562132","46,863971",9,"6,777778","203,333333","2,291564","68,746914",,2,2,5,"4,4",132,"1,54","46,2",23,"11,73913","361,304348","4,009965","122,666098",,,,2,"21,5",645,"7,525","225,75",30,"64,733333","2223,5","21,961547","754,20158",
1566164,96,69,,,,,,,27,"1,037037","31,111111",",350202","10,506065",,75,21,,,,,,,,,,,,11,3,13,2,120,",7",42,69,"4,028986","241,73913","1,370374","82,222443",,1,10,18,"3,444444",215,"1,155144","72,225309",67,"5,597015","484,925373","1,941907","168,154578",,2,,,,,,,94,"22,425532","789,255319","7,690689","270,784945",,,35,18,"4,611111","165,555556","1,598841","57,291748",43,"6,069767","255,813953","2,068286","87,101464",,6,,,,,,,90,"2,844444","170,666667",",976984","58,619064",,19,7,17,"4,588235","180,588235","1,61732","63,663399",53,"9,584906","332,45283","3,26084","113,340476",,3,24,18,"3,111111","148,333333","1,058642","50,858025",51,"6,058824","299,411765","2,071024","102,598039",,,2,12,"15,916667","566,25","5,427161","193,423611",82,"53,865854","1914,512195","18,490284","657,620421",
1566165,36,20,,3,1,10,",368421","3,684211",13,"1,076923","15,769231",",384517","5,626059",,16,10,7,"2,857143","43,571429","1,025585","15,760234",3,5,"76,666667","1,643725","25,104588",,7,3,9,4,"160,555556","1,465497","58,814327",17,"6,470588","264,705882","2,313091","94,667161",,1,31,4,"3,75","197,5","1,39693","73,581872",,,,,,,8,,2,1,30,",318826","9,564778",26,"1,346154","67,307692",",492257","24,675495",,6,25,5,"2,2",123,",818713","45,807017",,,,,,,36,,,,,,,,,,,,,21,3,5,"4,8",156,"1,784795","57,964912",7,"7,714286","252,857143","2,744534","90,586032",,17,4,3,"7,333333",135,"2,701754","49,736842",12,"6,916667","301,666667","2,397983","105,218669",,,1,2,19,570,"6,834211","205,026316",33,47,"1428,181818","16,9496","514,528708",
1566166,126,104,,,,,,,22,"1,272727","38,181818",",40685","12,205496",,48,26,7,2,45,",674074","15,166667",45,"3,244444",91,"1,060231","29,760973",,29,16,17,"4,294118",150,"1,42721","49,507482",64,"6,390625","247,96875","2,139356","82,884749",,34,83,9,"4,555556","208,888889","1,523868","69,783951",,,,,,,49,2,2,"1,5",30,",525","10,5",73,"2,178082","192,328767",",730263","64,980894",,,74,33,"7,454545","146,212121","2,570967","50,536638",19,"9,578947","190,263158","2,942945","58,817986",,126,,,,,,,,,,,,,56,5,13,"5,076923","152,307692","1,645299","49,358974",52,"9,923077","332,115385","3,322144","110,761376",,112,8,6,5,150,"1,568519","47,055556",,,,,,,,1,,,,,,125,"46,272","1489,08","15,406658","495,613148",
1566167,488,459,5,16,1,10,",348189","3,48189",8,1,"16,875",",329907","5,434722",,69,61,22,"1,363636","44,545455",",45811","14,914196",336,"3,193452","123,58631","1,084588","42,013748",,49,17,40,"3,7","146,25","1,230774","48,79586",382,"5,390052","249,149215","1,817233","84,01772",,150,145,112,"3,705357","205,625","1,265601","70,313968",81,"7,716049","401,851852","2,571251","134,228425",,2,,,,,,,486,"21,728395","410,380658","7,363537","139,360055",,33,424,25,"5,08",143,"1,666209","47,212296",6,"15,166667","251,666667","5,124445","84,844445",,71,415,,,,,,2,2,120,",7",42,,391,28,43,"5,116279","173,372093","1,714067","57,88842",26,7,"261,923077","2,255928","85,039687",,30,17,22,"2,818182","134,318182",",938459","45,003256",419,"8,391408","439,51074","2,825191","148,057615",,,28,42,"19,261905","574,285714","6,62474","197,995289",418,"56,279904","1468,899522","18,988969","495,938421",
1566168,319,3,,,,,,,316,"1,221519","21,392405",",414656","7,250205",,,1,55,2,45,",701414","15,781818",263,"3,692015","80,019011","1,233222","26,759302",,92,41,47,"3,12766","156,382979","1,040691","52,034532",139,"4,748201","236,834532","1,591831","79,390086",,27,152,40,"3,875",228,"1,274943","75,209747",100,"6,89","459,4","2,287641","151,741612",,60,,1,1,30,",28","8,4",258,"3,333333","118,914729","1,133769","40,128352",,,79,135,"3,133333","138,111111","1,065874","46,993378",105,"5,038095","220,333333","1,703757","74,259607",,133,4,12,2,100,",659748","32,987417",170,"3,047059","152,352941","1,026177","51,308825",,23,247,11,"5,272727","164,090909","1,845455","57,431818",38,"8,315789","268,947368","2,826638","90,526775",,3,197,29,"6,689655","144,310345","2,251326","48,439876",90,"12,044444","314,944444","4,025162","105,057456",,,5,10,"20,1",614,"7,035","214,9",304,"45,085526","1486,463816","15,145345","499,278158",
1566169,195,,,,,,,,195,"1,897436","29,051282",",580142","8,850931",,26,4,1,1,45,",259259","11,666667",164,"1,737805","79,268293",",517639","23,828621",,3,46,31,"4,935484","173,064516","1,397961","49,531585",115,"8,104348","313,826087","2,577183","99,945956",,3,18,62,"5,612903","273,870968","1,568346","75,937958",112,"7,348214","362,678571","2,366607","116,282791",,,,,,,,,195,"20,225641","474,487179","5,975705","140,811202",,,1,18,"5,166667","154,166667","1,761397","52,640418",176,"8,568182","255,227273","2,569381","77,160958",,6,3,9,"1,777778",90,",593083","29,7849",177,"3,768362","224,237288","1,153081","68,642301",,111,53,28,"5,678571","340,714286","1,618489","97,109355",3,8,480,"2,319608","139,176471",,3,19,22,"4,727273","180,454545","1,338788","51,0514",151,"8,258278",385,"2,503262","117,329792",,,3,15,"21,6",672,"6,344008","197,520241",177,"54,858757","2032,288136","16,073817","595,732391",
