PDS,ANZ_S,RTS_E55010.0,RTS_E55010.1,RTS_E55010.3,RTS_E55010.3.MW_A_PR,RTS_E55010.3.MW_M_PR,RTS_E55010.3.MW_A_PW,RTS_E55010.3.MW_M_PW,RTS_E55010.4,RTS_E55010.4.MW_A_PR,RTS_E55010.4.MW_M_PR,RTS_E55010.4.MW_A_PW,RTS_E55010.4.MW_M_PW,RTS_E55010.9,RTS_E55020.0,RTS_E55020.1,RTS_E55020.3,RTS_E55020.3.MW_A_PR,RTS_E55020.3.MW_M_PR,RTS_E55020.3.MW_A_PW,RTS_E55020.3.MW_M_PW,RTS_E55020.4,RTS_E55020.4.MW_A_PR,RTS_E55020.4.MW_M_PR,RTS_E55020.4.MW_A_PW,RTS_E55020.4.MW_M_PW,RTS_E55020.9,RTS_E55030.0,RTS_E55030.1,RTS_E55030.3,RTS_E55030.3.MW_A_PR,RTS_E55030.3.MW_M_PR,RTS_E55030.3.MW_A_PW,RTS_E55030.3.MW_M_PW,RTS_E55030.4,RTS_E55030.4.MW_A_PR,RTS_E55030.4.MW_M_PR,RTS_E55030.4.MW_A_PW,RTS_E55030.4.MW_M_PW,RTS_E55030.9,RTS_E55040.0,RTS_E55040.1,RTS_E55040.3,RTS_E55040.3.MW_A_PR,RTS_E55040.3.MW_M_PR,RTS_E55040.3.MW_A_PW,RTS_E55040.3.MW_M_PW,RTS_E55040.4,RTS_E55040.4.MW_A_PR,RTS_E55040.4.MW_M_PR,RTS_E55040.4.MW_A_PW,RTS_E55040.4.MW_M_PW,RTS_E55040.9,RTS_E55050.0,RTS_E55050.1,RTS_E55050.3,RTS_E55050.3.MW_A_PR,RTS_E55050.3.MW_M_PR,RTS_E55050.3.MW_A_PW,RTS_E55050.3.MW_M_PW,RTS_E55050.4,RTS_E55050.4.MW_A_PR,RTS_E55050.4.MW_M_PR,RTS_E55050.4.MW_A_PW,RTS_E55050.4.MW_M_PW,RTS_E55050.9,RTS_E55060.0,RTS_E55060.1,RTS_E55060.3,RTS_E55060.3.MW_A_PR,RTS_E55060.3.MW_M_PR,RTS_E55060.3.MW_A_PW,RTS_E55060.3.MW_M_PW,RTS_E55060.4,RTS_E55060.4.MW_A_PR,RTS_E55060.4.MW_M_PR,RTS_E55060.4.MW_A_PW,RTS_E55060.4.MW_M_PW,RTS_E55060.9,RTS_E55070.0,RTS_E55070.1,RTS_E55070.3,RTS_E55070.3.MW_A_PR,RTS_E55070.3.MW_M_PR,RTS_E55070.3.MW_A_PW,RTS_E55070.3.MW_M_PW,RTS_E55070.4,RTS_E55070.4.MW_A_PR,RTS_E55070.4.MW_M_PR,RTS_E55070.4.MW_A_PW,RTS_E55070.4.MW_M_PW,RTS_E55070.9,RTS_E55080.0,RTS_E55080.1,RTS_E55080.3,RTS_E55080.3.MW_A_PR,RTS_E55080.3.MW_M_PR,RTS_E55080.3.MW_A_PW,RTS_E55080.3.MW_M_PW,RTS_E55080.4,RTS_E55080.4.MW_A_PR,RTS_E55080.4.MW_M_PR,RTS_E55080.4.MW_A_PW,RTS_E55080.4.MW_M_PW,RTS_E55080.9,RTS_E55090.0,RTS_E55090.1,RTS_E55090.3,RTS_E55090.3.MW_A_PR,RTS_E55090.3.MW_M_PR,RTS_E55090.3.MW_A_PW,RTS_E55090.3.MW_M_PW,RTS_E55090.4,RTS_E55090.4.MW_A_PR,RTS_E55090.4.MW_M_PR,RTS_E55090.4.MW_A_PW,RTS_E55090.4.MW_M_PW,RTS_E55090.9
7821150,104,,2,6,"19,666667","657,5","6,459877","216,513889",96,"54,65625","1938,75","18,168147","644,829621",,17,41,26,4,"234,230769","1,311778","76,980319",20,6,"349,5","2,015707","117,648099",,7,9,25,"2,04","122,4",",711822","42,709333",63,"3,650794","219,047619","1,188875","71,332498",,,65,33,"4,242424","150,909091","1,440894","51,252289",6,"5,166667",225,"1,717593","75,42284",,63,8,,,,,,33,"3,060606","183,636364","1,037093","62,225589",,,,1,1,30,",35","10,5",103,"3,398058","264,757282","1,139768","88,890921",,,74,22,2,"47,5",",662314","15,719919",8,"3,625","82,5","1,166667","26,663195",,33,,,,,,,71,"1,211268","41,408451",",413844","14,206408",,4,39,23,"2,956522","160,434783",",95828","52,82793",38,"5,894737","322,894737","1,964499","108,271891",
7821151,45,,,5,"19,4",588,"6,336296","192,188889",40,"39,5","1285,5","11,907783","387,133293",,5,15,4,5,"262,5","1,569853","76,742647",21,"8,238095","590,238095","2,62704","187,901715",,18,7,13,4,"143,461538","1,216836","43,829732",7,"5,142857","212,857143","1,696296","71,388889",,,9,14,5,"142,5","1,48855","43,56657",22,"5,909091","202,5","1,819498","63,137224",,32,12,,,,,,1,2,120,",482759","28,965517",,1,5,4,2,35,",7","12,25",35,"6,657143","159,428571","1,993823","47,718576",,1,1,,,,,,43,"3,348837","117,906977","1,032586","36,282891",,2,,,,,,,43,"1,581395","31,860465",",484829","9,859231",,16,13,1,5,115,"1,75","40,25",15,"9,066667","970,666667","2,796768","299,415195",
7821152,420,,,1,45,1120,"9,264706","230,588235",419,"63,902148","1770,453461","19,482986","539,356468",,129,232,24,"5,083333","254,583333","1,446783","71,404886",35,"7,457143",382,"2,315387","119,273433",,180,15,34,"5,235294","157,058824","1,608941","48,268243",191,"7,319372","219,581152","2,230124","66,903708",,,5,117,"2,196581","122,820513",",694143","38,82114",298,"4,513423","208,137584","1,408572","64,899123",,320,100,,,,,,,,,,,,,,2,"2,5",35,",738889","10,435185",418,"6,330144","162,930622","1,970199","50,775551",,,,,,,,,420,"4,67619","133,142857","1,458938","41,764986",,,,,,,,,420,"1,116667","16,75",",349993","5,249904",,192,20,7,"5,571429","167,142857","1,665142","49,954248",201,"15,706468","496,567164","4,662228","147,284323",
7821153,64,,2,5,"21,2",699,"6,512593","214,161111",57,"36,77193","1328,421053","10,946087","394,372349",,62,2,,,,,,,,,,,,6,26,28,"5,357143","160,714286","1,555311","46,659314",4,"6,5",195,"2,093519","62,805556",,,55,5,6,147,"1,771198","45,306318",4,"7,5","192,5","1,905766","49,744582",,64,,,,,,,,,,,,,,,3,1,30,",319753","9,592593",61,"3,754098","134,262295","1,12707","38,972873",,25,9,22,1,45,",311641","14,023846",8,2,"71,25",",523857","18,602328",,62,,,,,,,2,1,45,",259259","11,666667",,27,13,6,4,150,"1,219408","45,320806",18,"9,611111","422,5","2,89845","127,216436",
7821154,36,,1,5,19,567,"6,232593","186,2",30,"44,133333","1398,166667","14,629321","462,64784",,14,22,,,,,,,,,,,,3,13,11,5,150,"1,593266","47,79798",9,"7,666667",230,"2,388477","71,654321",,,,4,4,"157,5","1,286574","51,381945",32,"5,40625","268,125","1,781597","88,662326",,36,,,,,,,,,,,,,3,3,,,,,,30,"2,033333","135,666667",",673642","45,353086",,,,4,1,45,",325","14,625",32,"2,5","117,65625",",837326","39,350694",,11,,,,,,,25,1,30,",334963","10,048889",,34,1,,,,,,1,8,240,"2,074074","62,222222",
7821155,1129,1,69,144,"22,506944","676,458333","6,989794","210,097663",915,"38,365027","1174,95082","12,063998","369,517315",,422,442,154,"3,207792","211,363636","1,03779","67,993998",111,"5,342342","398,243243","1,645518","122,589078",,215,135,32,"4,75","185,625","1,254134","49,295728",747,"8,858099","356,104418","2,793617","112,503069",,,69,473,"3,934461","146,088795","1,262371","46,86307",587,"6,916525","237,061329","2,226277","76,668618",,115,494,11,1,90,",318043","28,623886",509,"2,927308","204,931238",",952272","66,661699",,538,43,133,"1,097744","30,977444",",352765","9,962023",415,"2,826506","108,13253",",884185","34,077828",,42,,,,,,,1087,"1,704692","102,060718",",542183","32,480533",,6,,,,,,,1123,"1,559216","28,579697",",498054","9,13441",,449,169,272,"4,25","134,779412","1,410362","44,771399",239,"9,619247","305,690377","2,910694","92,650877",
7821156,714,,75,79,"19,708861","612,151899","6,541262","203,470514",560,"33,855357","1127,142857","11,149561","370,999045",,445,256,10,"6,1",267,"1,693192","73,512582",3,"4,333333",300,"1,335185","94,111111",,262,98,232,"2,961207","126,853448","1,001358","42,791043",122,"3,459016","196,47541","1,168761","66,474247",,,69,148,"3,310811","144,72973","1,136611","49,694966",497,"5,162978","249,869215","1,713799","83,016783",,465,248,,,,,,1,2,120,",7",42,,243,50,13,2,40,",663016","13,260313",408,"1,901961","103,676471",",630296","34,376625",,98,371,18,"2,611111",45,",8938","15,388402",227,"2,511013","94,625551",",841279","31,748858",,111,,,,,,,603,"1,834163","35,630182",",614438","11,915708",,417,22,30,"2,9","136,5",",931031","43,550615",245,"8,718367","344,653061","2,785073","110,215909",
7821157,186,,32,26,"23,923077","735,769231","6,408269","197,813851",128,"55,671875","2047,8125","14,875936","546,734203",,39,33,26,"6,461538",270,"1,797714","73,626477",88,"11,306818","519,545455","3,088488","144,552865",,43,40,51,"4,843137","187,647059","1,259991","48,795946",52,"5,961538","235,096154","1,809647","70,923278",,,1,,,,,,185,"13,648649","428,918919","3,851208","121,642224",,171,1,14,"1,357143",90,",396859","26,560415",,,,,,,,,31,4,40,"1,194631","11,94631",155,"8,922581","172,774194","2,523727","48,955221",,,,,,,,,186,"10,247312","180,967742","2,838395","50,336807",,1,,,,,,,185,"2,4",36,",685076","10,276142",,,86,55,"5,109091","152,727273","1,74709","52,043357",45,"12,177778","548,666667","3,282886","144,289223",
7821158,475,,60,144,"23,902778","602,638889","8,007543","201,925811",271,"37,9631","1000,664207","12,498628","329,562322",,116,139,98,"4,530612","223,622449","1,458353","72,370271",122,"9,991803","485,983607","3,292595","160,492534",,117,239,106,"4,273585","131,603774","1,456396","44,898409",13,"6,538462","219,230769","2,108502","71,331984",,,,68,"4,117647","151,985294","1,411928","52,15123",407,"6,911548","240,614251","2,29904","80,099618",,113,207,,,,,,155,"2,090323","125,419355",",681601","40,896025",,5,,3,"1,666667","36,666667",",52284","11,623457",467,"2,552463","100,931478",",849488","33,700081",,,28,92,2,45,",687375","15,465929",355,"3,571831","96,042254","1,17588","31,685698",,,,,,,,,475,"1,162105","17,652632",",388809","5,909504",,182,151,70,"3,942857","149,571429","1,289981","48,90949",72,"6,138889","277,013889","2,051722","92,045183",
7821159,888,,13,41,"21,585366","665,365854","6,611601","203,516747",834,"47,147482","1467,194245","15,190707","473,153899",,312,545,31,"4,16129","211,935484","1,359857","69,34767",,,,,,,65,292,365,"3,142466","141,410959","1,050757","47,284088",166,4,180,"1,402269","63,102093",,,286,497,"5,597586","141,589537","1,779432","45,400996",105,"7,942857","196,238095","2,280293","56,853242",,212,94,516,2,90,",649775","29,239878",66,3,"188,636364",",9231","57,983474",,383,4,107,1,30,",32589","9,776703",394,"1,604061","63,92132",",519796","20,698373",,157,343,137,"1,554745",45,",506985","14,698419",251,"3,091633","115,338645",",961539","35,753003",,8,,,,,,,880,"1,039773","31,789773",",338426","10,343168",,17,93,78,"5,217949","153,846154","1,663686","49,092845",700,"11,651429","337,957143","3,708535","107,471277",
7821160,308,,2,12,"20,166667","704,166667","5,908321","206,08471",294,"42,55102","1515,442177","12,763863","453,836516",,119,152,25,"3,84",236,"1,191555","72,981482",12,"6,083333","394,583333","1,728395","113,163807",,44,196,55,"3,981818","158,545455","1,195737","47,399797",13,"5,153846","225,384615","1,72019","75,007272",,1,285,19,"4,105263","140,789474","1,220906","41,604288",3,"7,333333","221,666667","1,904793","60,938635",,172,92,13,2,"100,769231",",591801","29,859287",31,"2,806452","163,225806",",828185","48,22214",,2,,39,3,35,",96403","11,24702",267,"8,146067","170,318352","2,441597","51,321677",,1,135,67,"2,014925",45,",626019","13,967894",105,"2,971429","93,285714",",862342","27,20478",,19,,,,,,,289,"1,197232","27,923875",",363836","8,341046",,136,73,20,"9,45","166,75","2,944326","51,187647",79,"17,936709","388,860759","5,11024","111,353994",
7821161,236,,9,54,"19,944444","679,814815","6,250414","212,863375",173,"26,104046","886,589595","8,196208","278,993363",,124,92,20,"3,45",207,"1,103092","66,185507",,,,,,,3,96,88,"2,75","138,75",",916566","45,882277",49,"3,244898","189,795918","1,124581","65,780979",,,186,43,"4,976744","139,534884","1,547146","43,516841",7,"7,571429","202,142857","2,376211","63,45869",,236,,,,,,,,,,,,,42,17,9,2,30,",641722","9,625831",168,"22,172619","239,880952","7,044961","76,261165",,68,6,11,"1,636364",45,",551329","15,082935",151,"1,874172","95,165563",",58775","29,729887",,233,,,,,,,3,"1,666667",70,",462346","19,962963",,163,19,48,"5,416667","162,5","1,668975","50,06924",6,"6,666667",200,"2,091358","62,740741",
7821162,1011,,30,90,"21,977778","625,5","7,426309","211,005926",891,"38,159371","1202,502806","12,446591","392,233205",,93,479,157,"3,66879","212,388535","1,21287","70,217782",282,"7,070922","413,510638","2,291222","134,003893",,328,62,171,"4,573099","166,140351","1,444897","52,118726",450,"5,208889","237,344444","1,733095","78,59436",,,,232,"4,288793","140,215517","1,434781","46,906584",779,"6,991014","257,689345","2,32024","85,635546",,265,607,3,2,"108,333333",",7","37,916667",136,"2,022059","121,323529",",674807","40,48839",,82,8,21,"1,761905",30,",582099","9,851852",900,"2,895556","103,955556",",951316","34,161438",,,141,11,3,45,"1,000505","15,007576",859,"4,051222","111,845169","1,33651","37,008416",,80,,3,1,10,",319753","3,197531",928,"1,747845","27,99569",",577056","9,245607",,494,57,199,"4,969849","149,095477","1,643338","49,300146",261,"9,436782","283,390805","3,032599","91,08201",
7821163,321,,,3,"20,333333",605,"7,116667","211,75",318,"43,235849","1265,72327","14,718545","430,574951",,25,148,69,"3,565217","212,826087","1,222684","72,980621",79,"6,721519","408,987342","2,234212","135,90247",,2,64,95,"4,021053","150,631579","1,378946","51,607552",160,"6,225","260,53125","2,112498","88,258991",,,,16,"4,1875","147,1875","1,471382","51,705592",305,"6,97377","277,868852","2,378448","94,783565",,111,107,,,,,,103,"2,514563","150,679612",",858516","51,442987",,1,,,,,,,320,"20,946875","418,3125","7,136016","142,599304",,,,,,,,,321,"8,29595","252,725857","2,828561","86,218693",,4,,,,,,,317,"1,138801","17,555205",",387865","5,979299",,,,,,,,,321,"20,040498","823,753894","6,815854","280,280846",
7821164,472,,1,5,"18,2",591,"6,432632","208,913158",466,"45,899142","1548,916309","15,454276","521,527572",,5,284,138,"3,492754","211,086957","1,156559","69,890724",45,"5,933333","362,666667","2,051005","125,352108",,157,42,103,"2,116505","126,990291",",714806","42,888352",170,"3,664706","219,352941","1,230791","73,662179",,12,301,122,"5,655738","140,204918","1,896343","47,209718",37,"6,675676","206,621622","2,215998","69,066525",,462,10,,,,,,,,,,,,17,16,55,"1,054545","30,363636",",364383","10,486026",384,"2,825521","104,895833",",957332","35,36094",,15,65,35,"2,114286","45,428571",",722788","15,51381",357,"2,445378","90,070028",",828319","30,541694",,25,,,,,,,447,"1,080537","16,789709",",366262","5,688276",,272,119,20,"4,35","139,5","1,533962","49,16886",61,"6,262295","256,557377","2,128747","87,338137",
7821165,594,,4,8,"24,875","746,25","6,868552","206,056561",582,"62,250859","2275,103093","20,241312","738,224838",,217,218,68,"3,485294","235,514706","1,063318","70,948033",91,"3,989011",300,"1,362997","102,885972",,420,12,20,"4,65","209,25","1,151198","51,803921",142,"5,661972","254,788732","1,860343","83,71545",,,161,178,"3,286517","137,780899","1,084538","45,553518",255,"4,839216","222,058824","1,56428","71,84402",,374,208,10,2,105,",610937","32,074183",2,2,120,",7",42,,303,67,40,"2,125","35,75",",708521","11,920493",184,"10,869565","174,157609","3,525088","56,296143",,1,233,25,"1,96",45,",642375","14,768431",335,"3,710448","101,955224","1,21828","33,447034",,11,,,,,,,583,"1,046312","16,286449",",343099","5,316895",,430,25,34,"5,323529","159,705882","1,663902","49,917051",105,"8,180952","365,428571","2,642444","118,565468",
7821166,752,,16,34,"24,941176","681,617647","7,637314","208,227694",702,"49,131054","1658,525641","15,784044","532,024823",,407,311,27,"4,666667","252,962963","1,328704","71,655939",7,"7,428571","350,714286","2,430019","114,834308",,28,135,86,"3,372093","162,848837","1,017206","49,262095",503,"9,646123","573,966203","3,11386","185,512831",,,7,22,"5,454545","150,681818","1,874195","51,565107",723,"7,904564","240,850622","2,586708","78,889294",,97,134,37,2,105,",686803","36,057163",484,"2,873967","169,834711",",937784","55,420898",,46,22,4,2,30,",60926","9,138889",680,"2,383824","90,536765",",776185","29,552588",,,11,4,"1,25",45,",447222","16,1875",737,"3,189959","99,016282","1,044422","32,38385",,12,,,,,,,740,"1,089189","16,52027",",353438","5,35006",,213,121,71,"4,126761","148,098592","1,344794","47,40329",347,"6,360231","296,585014","2,032759","94,994001",
7821167,419,1,34,20,22,660,"6,946051","208,381536",364,"48,5","1670,10989","15,330899","526,092391",,162,159,43,"4,837209","212,55814","1,563925","68,924733",55,"8,690909",390,"2,834281","127,31701",,88,20,24,"4,333333","188,75","1,2106","52,62977",287,"6,222997","266,341463","1,995369","85,490515",,,,218,"3,972477","163,073394","1,302552","53,482991",201,"5,21393","208,283582","1,687745","67,330691",,176,59,155,2,90,",645707","29,056803",29,"3,413793","153,62069","1,130862","50,888783",,,,1,1,30,",35","10,5",418,"2,511962","94,126794",",810814","30,4323",,114,75,91,"2,450549",45,",811924","14,854071",139,"4,42446","88,705036","1,41466","28,335249",,176,,,,,,,243,"1,761317","26,419753",",565725","8,485882",,44,15,19,"5,157895","154,736842","1,542593","46,277778",341,"16,258065","489,472141","5,192084","156,27868",
7821168,86,,1,2,26,"802,5","7,362069","228,737069",83,"38,710843","1436,385542","12,005083","443,668064",,23,54,7,"3,857143","204,285714","1,297799","68,561722",2,6,345,"2,197222","126,583334",,17,14,28,"5,285714","158,571429","1,626609","48,79827",27,"7,777778","233,333333","2,496812","74,904364",,,28,35,"6,028571","144,714286","1,918563","46,3757",23,"7,391304","214,130435","2,242748","65,60543",,16,10,26,2,90,",627064","28,217855",34,"3,323529","149,558824","1,055865","47,513938",,16,,3,1,30,",313793","9,413793",67,"2,880597","135,597015",",921255","43,210073",,13,28,15,"2,666667",45,",840549","14,130342",30,"4,8","102,5","1,392653","29,953945",,1,,,,,,,85,"1,105882","19,588235",",348533","6,251547",,47,28,2,"5,5","172,5","1,599138","50,599138",9,"13,888889","506,666667","3,464074","128,544018",
7821169,620,,55,132,"22,44697","672,045455","6,811945","204,097848",433,"50,637413","1963,718245","15,910634","617,346686",,144,340,106,"3,698113","217,358491","1,172393","68,978679",30,"6,333333",374,"1,972107","116,397946",,79,42,132,"3,848485","173,181818","1,131725","50,927632",367,"5,06812","228,351499","1,61939","72,968996",,,25,189,"5,640212","155,15873","1,884964","52,034493",406,"7,246305","203,805419","2,219895","62,689869",,134,5,233,1,90,",321026","28,892367",248,"2,806452","216,774194",",879566","67,617609",,37,,20,1,"32,5",",331354","10,846489",563,"2,488455","110,53286",",775242","34,566304",,,148,86,2,45,",647761","14,574629",386,"2,642487","76,204663",",826257","23,857812",,408,,,,,,,212,"1,15566","38,70283",",359956","12,014133",,245,40,50,"4,26","150,6","1,305737","46,288764",285,"6,863158","353,473684","2,10983","109,063325",
7821170,344,,16,74,"25,094595","700,405405","7,482604","208,974744",254,"45,858268","1457,5","13,924524","442,042317",,159,184,1,3,180,"1,105263","66,315789",,,,,,,8,30,168,"5,761905","172,857143","1,613335","48,400052",138,"6,123188","183,695652","2,147453","64,423584",,,17,164,"5,75","152,743902","1,84824","49,284233",163,"7,570552","204,846626","2,221339","60,37486",,187,150,7,2,90,",553704","24,916666",,,,,,,115,,,,,,,229,"1,515284","93,275109",",466924","28,571279",,205,124,9,3,45,",881655","13,224818",6,"2,666667",95,",692244","24,053345",,259,,,,,,,85,"1,152941","39,529412",",362275","12,562508",,263,13,1,8,130,"2,666667","43,333333",67,"9,567164","387,164179","2,881132","117,920657",
7821171,32,,8,3,21,"583,333333","6,533333","183,296296",21,"38,428571","1221,666667","11,234852","362,35771",,1,4,10,"4,9",267,"1,392222","75,924074",17,"7,235294",410,"2,0427","116,057713",,8,14,4,4,"127,5","1,4","44,625",6,"7,666667","312,5","2,152024","87,144618",,11,19,2,"2,5",125,",875","43,75",,,,,,,,3,14,2,90,",582176","26,197917",15,3,135,",893591","40,211585",,5,,21,1,30,",297868","8,936032",6,"3,333333","125,833333",",950617","35,815587",,2,24,,,,,,6,"2,166667",65,",563453","16,903573",,29,,,,,,,3,"1,333333",20,",466667",7,,10,10,5,6,180,"1,577245","47,317344",7,9,270,"2,651852","79,555556",
7821172,341,,25,46,"22,108696","627,065217","7,115045","201,316599",270,"44,551852","1269,777778","13,878623","396,219965",,20,156,72,"4,222222","218,472222","1,375713","71,619044",93,"8,11828","416,129032","2,527","129,995376",,61,33,70,"4,457143","133,714286","1,442158","43,264734",177,"9,514124","285,59322","2,964959","88,983675",,,8,25,"6,92","147,6","2,22963","47,685556",308,"10,227273","303,198052","3,282315","97,383504",,151,137,53,2,90,",62203","27,991345",,,,,,,85,38,17,2,30,",683224","10,248366",201,"3,303483","85,373134","1,038321","26,99801",,,44,7,3,45,",972222","14,583333",290,"6,172414","150,051724","1,970299","48,01384",,,,,,,,,341,"2,870968","41,334311",",913988","13,150043",,62,50,39,"4,435897","148,076923","1,43623","47,848291",190,"13,473684","440,052632","4,254698","139,015203",
7821173,517,,10,19,"21,315789","677,368421","6,393472","205,775821",488,"51,344262","1689,262295","15,482414","509,633443",,172,148,58,"3,689655","253,62069","1,049282","72,232054",139,"8,81295","594,784173","2,48853","167,911247",,73,44,91,"5,461538","165,164835","1,542283","46,607641",309,"10,579288","343,68932","3,255273","105,41414",,,6,68,"6,514706","166,544118","2,17586","55,739059",443,"9,616253","255,575621","2,910649","77,7341",,336,147,3,2,90,",579013","26,055555",31,"2,032258","121,935484",",664242","39,854486",,73,4,14,"1,142857","30,357143",",372222","10,090278",426,"3,861502","187,535211","1,182067","57,167932",,17,102,34,"1,852941",45,",582537","14,013135",364,"3,206044","127,417582",",986662","39,241689",,15,,,,,,,502,"1,177291","18,715139",",363672","5,773327",,223,131,55,"3,381818","166,090909","1,017478","49,310748",108,"6,268519","315,416667","1,746635","87,857047",
7821174,381,,3,4,"21,25","637,5","6,857919","205,737573",374,"39,286096","1291,604278","12,466505","409,597958",,165,181,22,"4,636364","226,363636","1,459475","71,184289",13,"6,076923","309,230769","1,906876","97,332658",,2,37,66,"5,287879","158,636364","1,623924","48,71771",276,"19,59058","587,717391","6,374376","191,231291",,,1,38,"4,105263","163,552632","1,357719","54,460158",342,"8,74269","244,897661","2,754487","78,383023",,296,9,10,1,90,",337744","30,39697",66,"2,515152","173,181818",",772457","53,114658",,,,1,1,30,",259259","7,777778",380,"2,223684","106,894737",",716584","34,54882",,16,,,,,,,365,"2,715068","104,876712",",859274","33,469305",,,,,,,,,381,"2,51706","54,015748",",807742","17,337241",,143,58,14,"4,928571","157,5","1,512037","47,861111",166,"15,253012","523,373494","4,676693","159,67792",
7821175,334,,6,11,21,"649,090909","7,028075","216,084967",317,"40,656151","1476,26183","12,963542","470,719242",,262,67,4,"5,5",235,"1,461765","63,137255",1,6,320,"2,1",112,,26,87,146,"4,945205","148,356164","1,600445","48,013352",75,"6,666667",200,"2,181608","65,448247",,,68,164,"4,445122","135,396341","1,492844","45,36217",102,"6,647059","231,323529","2,055647","71,007198",,38,10,66,2,"90,454545",",667196","30,182889",220,"3,118182","142,568182","1,023634","46,843711",,64,19,32,1,30,",32312","9,693609",219,"2,369863","73,69863",",765085","23,493232",,34,38,33,"2,575758",45,",882186","15,364395",229,"5,104803","151,572052","1,641373","48,823725",,210,,,,,,,124,"1,66129","114,798387",",52748","36,061154",,250,26,22,"5,681818",175,"1,602186","49,161539",36,"7,444444","359,722222","2,301486","111,936317",
7821176,966,,40,130,"21,630769","648,538462","6,726242","201,680757",796,"37,167085","1138,203518","11,406541","349,108975",,470,351,79,"4,177215","242,658228","1,273904","73,732244",66,"7,212121",460,"2,086975","132,484993",,454,220,146,"4,910959","151,643836","1,518419","46,839113",146,"6,376712","313,664384","1,860156","90,893595",,2,177,296,"3,554054","144,324324","1,161264","47,053396",491,"5,378819","225,03055","1,618619","67,8085",,547,213,162,2,"104,444444",",623229","32,555204",44,"2,545455","140,113636",",765821","42,324218",,274,,72,1,30,",32048","9,61441",620,"2,619355","138,451613",",802318","42,405003",,317,311,78,2,45,",60973","13,718918",260,"2,334615","83,769231",",715594","25,784787",,680,,,,,,,286,"1,325175","39,807692",",403902","12,114171",,566,116,77,"4,701299","156,818182","1,487438","49,14283",207,"12,792271","458,937198","3,692209","132,022758",
7821177,280,,2,24,"17,791667","658,75","5,649151","210,280864",254,"32,165354","1258,622047","10,455924","408,741256",,67,64,86,"3,616279","217,674419","1,211619","72,94134",63,"6,079365","382,857143","1,957407","123,08642",,79,25,84,"4,72619","141,785714","1,492842","44,785257",92,6,180,"2,102403","63,072082",,,36,118,"5,491525","138,050847","1,778617","44,84686",126,"7,309524","212,619048","2,427481","70,661975",,280,,,,,,,,,,,,,36,,20,"1,05","30,5",",340278","9,858333",224,"3,401786","133,526786","1,116676","43,837306",,34,42,9,"2,111111",45,",69856","14,842593",195,"3,282051","134,384615","1,083008","44,494603",,121,,,,,,,159,"1,289308","21,981132",",416639","7,092768",,79,55,25,"3,88","153,6","1,228473","48,72409",121,"9,057851","377,85124","2,951268","122,951549",
7821178,70,,1,4,"23,75","712,5","6,996759","209,902778",65,"46,230769","1460,153846","14,867012","468,883864",,37,32,1,3,180,"1,05",63,,,,,,,24,1,12,"5,166667",160,"1,609504","50,035131",33,"6,848485","214,545455","2,163577","67,788635",,,65,5,3,132,",832222","36,4",,,,,,,70,,,,,,,,,,,,,49,,9,1,30,",319753","9,592593",12,"1,333333",70,",445517","23,457846",,5,1,27,1,45,",340746","15,333553",37,"3,486486","85,540541","1,092612","26,816933",,5,,,,,,,65,"1,338462","49,615385",",435798","16,189846",,63,6,1,5,150,"1,75","52,5",,,,,,
7821179,278,,8,47,"20,425532","672,340426","6,340513","208,329981",223,"36,721973","1254,372197","11,059103","377,260924",,104,100,31,"4,870968","253,387097","1,361585","70,785676",43,"6,697674","371,27907","2,192088","121,946081",,24,101,108,"5,212963","166,435185","1,55671","49,859393",45,"7,044444",222,"2,133161","67,422716",,19,81,114,"4,508772","146,184211","1,408439","45,596691",64,"6,40625","210,859375","1,937848","63,92914",,278,,,,,,,,,,,,,51,35,5,2,30,",612541","9,188112",187,"3,090909","109,625668",",951715","33,832961",,99,99,31,"1,83871","43,709677",",557756","13,4352",49,"4,285714","169,387755","1,29811","51,463077",,53,,,,,,,225,"1,337778","22,288889",",414428","6,885132",,167,37,47,"5,489362","183,617021","1,535411","51,403681",27,"6,222222","209,62963","1,919959","64,884431",
7821180,126,1,77,45,"16,911111","637,222222","5,083638","191,394395",3,22,940,"6,297673","268,472934",,21,42,18,"4,5","224,444444","1,399612","69,469848",45,"7,244444",531,"2,174682","158,044721",,35,43,16,"3,875","168,75","1,176576","50,494792",32,"5,65625","260,15625","1,70859","78,215735",,,,6,"3,333333",125,"1,067284","40,395833",120,"6,05","361,625","1,854341","111,484915",,19,18,,,,,,89,"3,157303","189,438202",",959809","57,588566",,3,,1,1,30,",259259","7,777778",122,"2,106557","129,590164",",652912","40,370659",,7,3,,,,,,116,"1,948276","88,534483",",587866","27,007774",,56,,,,,,,70,"1,1","16,928571",",333337","5,130605",,53,,,,,,,73,"5,123288","459,246575","1,557955","139,736495",
